cycle,train_start,train_end,test_start,test_end,train_days,test_days,gpr_median,gpr_corr,gpr_corr_p,overall_lambda,hit_rate,low_stable_jump_prob,low_stable_lambda,low_stable_test_var,low_stable_test_mean,low_stable_test_n,low_rising_jump_prob,low_rising_lambda,low_rising_test_var,low_rising_test_mean,low_rising_test_n,high_rising_jump_prob,high_rising_lambda,high_rising_test_var,high_rising_test_mean,high_rising_test_n,high_falling_jump_prob,high_falling_lambda,high_falling_test_var,high_falling_test_mean,high_falling_test_n
11,1994,2010,2011,2026,4179,3860,91.50739288330078,0.08967129598782458,6.368415560573463e-09,1.8176597272074657,0.5937823834196891,0.15689981096408318,1.882797731568998,-10.251637392141076,1.52730059283878,1246,0.21272365805168986,2.5526838966202785,-9.09300079172957,2.044000066833242,99.0,0.1513353115727003,1.8160237388724036,-10.140112751601198,1.7639117379284914,1643,0.09851551956815115,1.1821862348178138,-12.507722561834328,1.9479445406905322,872
12,1994,2011,2012,2026,4431,3608,91.50739288330078,0.0895910449569523,2.314642617730727e-09,1.7874069058903181,0.5914634146341463,0.15502055196711687,1.860246623605402,-9.084767545491093,1.7287188002977818,1130,0.21442495126705652,2.5730994152046778,-7.770438312671593,2.851673098514094,89.0,0.14730290456431536,1.7676348547717842,-9.681486450035354,1.9434827780249617,1545,0.09492847854356307,1.1391417425227566,-12.549872048981234,1.9918987426653718,844
13,1994,2012,2013,2026,4681,3358,91.22930908203124,0.08877696783160813,1.169854800159309e-09,1.717581713309122,0.6009529481834425,0.14857456140350878,1.782894736842105,-8.915043279178478,1.9080161433533158,996,0.2127659574468085,2.553191489361702,-8.606060801429582,3.3295063492214103,73.0,0.13762057877813505,1.6514469453376206,-10.07417968148125,2.0290267779761755,1448,0.09554140127388536,1.1464968152866242,-12.54546949113164,2.096204640431275,841
14,1994,2013,2014,2026,4933,3106,90.80135345458984,0.08741313236899546,7.762603500104563e-10,1.6298398540441923,0.6155827430779137,0.13940329218106995,1.6728395061728396,-10.242544071223053,1.893286420510183,851,0.2084130019120459,2.500956022944551,-8.944084908610582,3.701977657207879,55.0,0.12920673076923078,1.5504807692307696,-10.817834218250347,1.9985546865995476,1351,0.09351620947630923,1.122194513715711,-12.518017178915414,2.0961917836973973,849
15,1994,2014,2015,2026,5185,2854,91.40291595458984,0.08298658316653663,2.1706372776617893e-09,1.5645130183220828,0.6236860546601262,0.13225963884821865,1.5871156661786237,-10.7915568326028,1.7064903929286823,779,0.2018348623853211,2.4220183486238533,-8.952254005185319,3.8320371925227823,54.0,0.12322544009085747,1.4787052810902894,-11.337069180151193,2.0583150503888765,1233,0.09397590361445783,1.127710843373494,-12.548836153016623,2.234171558573781,788
16,1994,2015,2016,2026,5437,2602,91.68357849121094,0.07963068204747213,4.111663097027941e-09,1.5383483538716205,0.6322059953881629,0.12650602409638553,1.5180722891566265,-11.270600316793475,1.9478068202523864,684,0.19572953736654805,2.3487544483985765,-5.611817481036111,5.625452324868751,46.0,0.12135922330097088,1.4563106796116505,-11.535822265842862,2.288025722250529,1131,0.10312862108922363,1.2375434530706835,-12.476838710591075,2.5259900985875623,741
17,1994,2016,2017,2026,5689,2350,92.12703704833984,0.07819980232430293,3.505025976641689e-09,1.4702056600457023,0.6276595744680851,0.1211453744493392,1.4537444933920705,-12.693097227542019,1.7765280644536086,596,0.19618055555555555,2.354166666666667,-5.598372936015482,5.198006776626636,47.0,0.1140215716486903,1.3682588597842835,-11.973249556798496,2.103117240803523,1023,0.09709821428571429,1.1651785714285716,-12.858385988809957,2.533492338109002,684
18,1994,2017,2018,2026,5940,2099,93.14903259277344,0.07788839412954973,1.8456847430512685e-09,1.408080808080808,0.6174368747022392,0.11769686706181202,1.412362404741744,-13.67071341597288,1.6502988079589633,549,0.1924342105263158,2.3092105263157894,-6.201344065026522,5.089968928963709,52.0,0.10776075135936727,1.2931290163124074,-12.479513540490805,2.0720267581455563,910,0.08870116156282999,1.06441393875396,-13.462534409624324,2.3668210711387796,588
19,1994,2018,2019,2026,6191,1848,93.75191497802734,0.07745760449551922,1.0440354360953185e-09,1.3800678404135036,0.6336580086580087,0.11511957843534658,1.3814349412241589,-13.63895604890718,2.1722456556639758,474,0.19236883942766295,2.3084260731319555,-6.075912244782433,5.501220778832481,51.0,0.10461828463713478,1.2554194156456175,-12.984771339167732,2.5843775855018776,791,0.08735868448098665,1.04830421377184,-13.895218984194162,2.4766947262871786,532
20,1994,2019,2020,2026,6443,1596,94.04766082763672,0.07414312552497061,2.5473529095360694e-09,1.3503026540431475,0.6234335839598998,0.1118854045683314,1.3426248548199768,-15.318466237148881,1.5644906704013855,366,0.19092331768388107,2.291079812206573,-5.335699980044541,6.152501454962186,52.0,0.10324616771866546,1.2389540126239855,-12.911089260579775,2.4948388499015466,684,0.0847457627118644,1.0169491525423728,-14.305092057426954,2.3687349894357004,494
