date,gpr_at_spike,cum_return_40d,max_drawdown_40d
2004-11-08,176.3635711669922,-0.018039831576076505,-0.029312743222738
2005-01-24,159.03428649902344,0.059165272044274596,-0.0171351287381792
2005-05-02,150.57125854492188,0.0885810894272787,-0.0014791365136619002
2005-07-08,469.2022399902344,0.08108761131701228,0.0248343165550346
2005-09-19,161.86410522460938,-0.029107096653930603,-0.11104722481279411
2006-01-20,153.4888153076172,-0.0744590226638488,-0.07508374696876428
2006-07-06,172.9570770263672,0.04933025941132618,-0.1152624557570929
2006-09-19,155.8122100830078,-0.00044809171541490556,-0.05321063273679
2006-12-05,150.86941528320312,-0.0356493058975471,-0.06669494453030489
2007-05-30,159.35586547851562,0.0816191767050336,-0.019878813925276996
2007-09-27,177.98077392578125,-0.1950642966447764,-0.1950642966447764
2007-12-05,183.71749877929688,-0.0806887137603114,-0.16800417812315138
2008-03-04,160.11337280273438,0.1238172351872355,-0.028625807804377495
2008-06-24,164.25955200195312,-0.049084585176404814,-0.1336860202858607
2008-09-04,154.28396606445312,-0.39547171170409895,-0.45759952299110374
2008-11-28,171.03880310058594,0.07639049094622641,-0.085792787977682
2009-04-14,175.2455291748047,0.11864142062537962,-0.05667111624080499
2009-09-18,173.58433532714844,-0.023075604748405493,-0.0906590593761918
2009-12-28,176.13995361328125,-0.06224792457764835,-0.1443436820838612
2010-04-09,164.31387329101562,-0.0638872392109707,-0.08675932433350828
2010-07-14,158.44317626953125,-0.12280483890561342,-0.16549183336802317
2010-11-24,166.79205322265625,0.10591411493486089,0.004753425980927501
2011-01-25,204.19937133789065,-0.045100288383269994,-0.07016894092436059
2011-03-29,196.35418701171875,-0.0386063830299855,-0.03860638302998551
2011-08-23,197.70501708984372,0.1407633437602729,-0.007843678595035014
2011-12-20,180.24853515625,0.23858757053058438,0.0317879099600919
2012-02-24,152.73109436035156,-0.0470056630837124,-0.0470056630837124
2012-07-17,155.83316040039062,0.11638825111342727,-0.0048253902166119
2012-10-22,163.3594970703125,0.06510865538223579,-0.024747457421621207
2013-01-22,151.14378356933594,0.0384345665509216,-0.0025358652978009
2013-04-17,153.71543884277344,0.0595110995220429,-0.0425022313253077
2013-08-27,154.7476806640625,0.09119337036092104,-0.0256214378654502
2013-11-25,164.51678466796875,0.07053875635638002,-0.0011896961385021
2014-02-03,156.57630920410156,0.10325315011736619,-0.0223963548623348
2014-04-30,182.05270385742188,0.0962315638767153,-0.0052318866836018
2014-07-14,151.0289306640625,0.0132987582753986,-0.07161658514916149
2014-09-16,157.3469696044922,0.01570858253934541,-0.14031492950220562
2014-11-25,163.63818359375,0.016400257578952894,-0.019548370012219388
2015-02-06,166.44029235839844,0.024833726915607507,-0.0166393556816299
2015-04-08,166.75509643554688,0.0557929389479493,-0.009643171973820502
2015-06-30,169.31866455078125,-0.1920461175344284,-0.1920461175344284
2015-09-22,188.75030517578125,0.0687158305074489,-0.054538255560946505
2015-12-01,170.49981689453125,-0.1431088589041759,-0.1647436108925136
2016-02-19,161.5886688232422,0.1113522411796603,0.003892658585571602
2016-06-29,151.0141143798828,0.1765973902921098,0.010102771081032108
2016-08-29,151.196044921875,0.034812401583414296,-0.0420888470543787
2016-11-14,153.25045776367188,0.10134643823625439,-0.0061821454914964
2017-01-30,166.4895477294922,0.04440296520189228,-0.0188619312076665
2017-04-04,150.57125854492188,0.08169640833439136,-0.04659480035451
2017-06-05,276.6095275878906,-0.016678095199217598,-0.0780938320752166
2017-08-08,169.71409606933594,0.0738536845648728,-0.035430209577885
2017-11-02,188.31134033203125,-0.014624559941102795,-0.0349405257128176
2018-01-02,188.6905670166016,0.08338828793218739,-0.027828695818791105
2018-03-15,189.4098358154297,-0.04510467784267749,-0.13624272402846727
2018-05-16,150.57125854492188,-0.003633285090612195,-0.04031791484247281
2018-07-16,168.76254272460938,0.025702968648034202,-0.014067429354543403
2018-10-26,159.10116577148438,-0.09265514233655789,-0.09265514233655789
2019-01-02,189.860595703125,0.1560051361295935,-0.052552970188437104
2019-04-09,167.5431671142578,-0.0965057474774709,-0.1335525704468279
2019-06-14,192.6398468017578,0.049988026371451125,-0.0328984406379742
2019-08-27,178.0950469970703,0.0970733470163566,-0.0032681180928728
